d,mstr,mstx,btc,strc,bps
2026-01-22,160.98,41.2,89481.04,99.71,0.001973889955
2026-01-23,163.11,42.1,89372.0,99.5,0.001973889955
2026-01-26,160.58,40.8,87512.55,99.05,0.00197427365
2026-01-27,161.58,41.2,89295.15,99.16,0.00197427365
2026-01-28,158.45,39.6,89014.79,98.99,0.00197427365
2026-01-29,143.19,31.9,84068.18,98.19,0.00197427365
2026-01-30,149.71,34.7,83824.34,98.99,0.00197427365
2026-02-02,139.63,30.1,77918.99,99.05,0.001974330936
2026-02-03,133.26,27.3,76405.13,98.455,0.001974330936
2026-02-04,129.09,25.5,73351.74,97.99,0.001974330936
2026-02-05,106.99,16.7,63628.77,93.67,0.001974330936
2026-02-06,134.93,25.4,70005.51,98.76,0.001974330936
2026-02-09,138.44,26.7,70754.38,99.72,0.001974666351
2026-02-10,133.0,24.7,68724.52,99.67,0.001974666351
2026-02-11,126.07,22.0,67523.42,100.0,0.001974666351
2026-02-12,123.0,20.9,65338.66,100.03,0.001974666351
2026-02-13,133.88,24.5,68738.23,99.8,0.001974666351
2026-02-17,128.67,22.6,67764.27,99.33,0.001972524336
2026-02-18,125.2,21.4,66218.62,99.5,0.001972524336
2026-02-19,129.45,22.8,67095.48,99.66,0.001972524336
2026-02-20,131.05,23.3,67725.75,99.82,0.001972524336
2026-02-23,123.71,20.8,64440.07,99.84,0.001972665673
2026-02-24,124.61,21.0,64471.14,99.91,0.001972665673
2026-02-25,135.65,24.7,69195.24,99.96,0.001972665673
2026-02-26,133.4,23.8,67369.7,100.0,0.001972665673
2026-02-27,129.5,22.5,65590.06,100.0,0.001972665673
2026-03-02,137.65,25.1,69171.98,100.0,0.001973649439
2026-03-03,132.68,23.3,68225.58,100.01,0.001973649439
2026-03-04,146.44,28.1,73110.63,100.05,0.001973649439
2026-03-05,139.81,25.7,71248.12,100.01,0.001973649439
2026-03-06,133.53,23.2,68119.67,100.02,0.001973649439
2026-03-09,138.95,25.1,69006.2,100.06,0.001979873108
2026-03-10,138.46,24.9,70050.23,100.02,0.001979873108
2026-03-11,138.33,24.8,70670.0,100.03,0.001979873108
2026-03-12,137.34,24.4,70487.48,100.01,0.001979873108
2026-03-13,139.67,25.2,71175.09,99.75,0.001979873108
2026-03-16,147.52,28.0,73980.87,99.83,0.001986738341
2026-03-17,150.28,29.0,74510.23,99.875,0.001986738341
2026-03-18,140.56,25.2,71058.62,99.57,0.001986738341
2026-03-19,138.24,24.36,70277.43,99.48,0.001986738341
2026-03-20,135.66,23.45,70160.94,99.55,0.001986738341
2026-03-23,138.2,24.26,70679.42,99.86,0.001986999478
2026-03-24,136.25,23.58,69318.8,99.95,0.001986999478
2026-03-25,139.13,24.54,70849.5,99.94,0.001986999478
2026-03-26,132.93,22.35,68510.28,99.97,0.001986999478
2026-03-27,126.03,19.99,66021.2,99.91,0.001986999478
2026-03-30,121.44,18.5,66480.58,99.965,0.001986999478
2026-03-31,124.8,19.55,67817.83,100.02,0.001986999478
2026-04-01,122.78,18.85,68129.8,100.0,0.001986999478
2026-04-02,119.83,17.91,66964.63,100.0,0.001986999478
2026-04-06,127.69,20.22,69733.0,100.0,0.002034360358
2026-04-07,123.72,18.98,69001.3,100.0,0.002034360358
2026-04-08,128.3,20.3,71319.57,100.0,0.002034360358
2026-04-09,128.86,20.49,72109.13,100.0,0.002034360358
2026-04-10,128.64,20.34,73218.2,100.0,0.002034360358
2026-04-13,132.36,21.52,73379.05,100.0,0.002033759693
2026-04-14,137.41,23.16,74329.2,100.0,0.002033759693
2026-04-15,143.54,25.17,75057.68,99.32,0.002033759693
2026-04-16,148.94,27.07,75384.94,99.06,0.002033759693
2026-04-17,166.52,33.41,77463.88,99.21,0.002033759693
2026-04-20,170.81,35.12,76311.11,99.32,0.00204960983
2026-04-21,163.97,32.21,75004.37,99.29,0.00204960983
2026-04-22,179.36,38.21,78918.52,99.44,0.00204960983
2026-04-23,172.47,35.25,77732.54,99.6,0.00204960983
2026-04-24,171.02,34.62,77657.02,99.53,0.00204960983
2026-04-27,169.2,33.85,76873.27,99.45,0.002157567629
2026-04-28,165.71,32.35,76338.21,99.45,0.002157567629
2026-04-29,158.19,29.46,75523.26,99.47,0.002157567629
2026-04-30,165.45,32.11,76380.03,99.75,0.002157567629
2026-05-01,177.17,36.6,78398.82,99.86,0.002157567629
2026-05-04,183.8,39.45,80015.0,99.95,0.002157567629
2026-05-05,186.9,40.66,81610.18,99.96,0.002157567629
2026-05-06,186.82,40.58,81463.4,99.97,0.002157567629
2026-05-07,179.84,37.35,80161.99,99.96,0.002157567629
2026-05-08,187.59,40.53,80121.37,99.99,0.002157567629
2026-05-11,195.94,44.22,81969.28,100.0,0.002157846745
2026-05-12,184.42,39.01,80823.99,99.99,0.002157846745
2026-05-13,178.03,36.28,79611.36,100.0,0.002157846745
2026-05-14,186.97,39.8,81459.98,100.0,0.002157846745
2026-05-15,177.42,35.67,79130.7,99.19,0.002157846745
2026-05-18,166.63,31.39,76905.0,98.61,0.002165189662
2026-05-19,164.63,30.52,76773.44,98.99,0.002165189662
2026-05-20,165.81,30.95,77602.0,99.16,0.002165189662
2026-05-21,164.85,30.58,77630.8,99.32,0.002165189662
2026-05-22,159.89,28.62,75783.75,99.3,0.002165189662
2026-05-26,159.93,28.62,75930.01,99.47,0.002165189662
2026-05-27,154.2,26.51,74909.98,99.17,0.002165189662
2026-05-28,151.64,25.62,73314.0,98.57,0.002165189662
2026-05-29,159.09,28.14,73417.93,98.99,0.002165189662
2026-06-01,149.78,24.74,71478.68,98.07,0.002165107544
2026-06-02,136.08,20.27,67195.98,96.71,0.002165107544
2026-06-03,126.55,17.35,65356.09,94.65,0.002165107544
2026-06-04,129.37,18.1,63547.89,95.42,0.002165107544
2026-06-05,120.44,15.54,60256.92,93.4,0.002165107544
2026-06-08,127.2,17.31,63373.8,96.85,0.002165272305
2026-06-09,117.02,14.57,62060.37,96.18,0.002165272305
2026-06-10,115.35,14.09,61889.27,95.81,0.002165272305
2026-06-11,120.15,15.23,63584.24,96.49,0.002165272305
2026-06-12,123.97,16.18,63569.27,94.8,0.002165272305
2026-06-15,131.14,18.03,66561.88,95.2,0.002165367398
2026-06-16,122.81,15.75,65572.33,91.79,0.002165367398
2026-06-17,116.56,14.15,64216.49,89.0,0.002165367398
2026-06-18,112.53,13.08,62905.5,88.59,0.002165367398
2026-06-22,109.46,12.42,64421.99,88.79,0.002165191129
2026-06-23,103.84,11.09,62316.73,87.31,0.002165191129
2026-06-24,94.13,9.01,59870.63,80.84,0.002165191129
2026-06-25,85.33,7.33,59220.18,75.69,0.002165191129
2026-06-26,82.31,6.76,59700.3,74.57,0.002165191129
2026-06-29,92.68,8.48,60327.14,83.67,0.002165191129
2026-06-30,86.93,7.44,58671.46,84.86,0.002165191129
2026-07-01,93.39,8.53,59992.2,87.46,0.002165191129
2026-07-02,100.77,9.83,61446.09,87.87,0.002165191129
2026-07-06,100.77,9.85,63692.97,88.58,0.002126382231
2026-07-07,97.36,9.17,63793.79,86.56,0.002126382231
